File Name,Category,Entropy_R_baseline,Entropy_G_baseline,Entropy_B_baseline,entropi_baseline,Entropy_R_optimized,Entropy_G_optimized,Entropy_B_optimized,entropi_optimized,selisih
I04_04_01.png,high,7.99908,7.99905,7.99918,7.9991,7.99908,7.99922,7.99928,7.99919,8.999999999925734e-05
I05_01_02.png,high,7.99919,7.99898,7.99908,7.99908,7.99913,7.99905,7.99904,7.99908,0.0
I05_20_02.png,high,7.99905,7.99922,7.99886,7.99904,7.99903,7.99908,7.99893,7.99902,-2.0000000000131024e-05
I08_18_01.png,high,7.9991,7.99907,7.99905,7.99907,7.99906,7.9989,7.99924,7.99907,0.0
I13_17_03.png,high,7.99902,7.99897,7.99903,7.999,7.99908,7.99926,7.99897,7.9991,0.00010000000000065512
I15_19_02.png,high,7.99914,7.99896,7.99909,7.99906,7.99907,7.99904,7.9991,7.99907,9.999999999621423e-06
I16_16_01.png,high,7.99909,7.99893,7.99912,7.99905,7.99906,7.99898,7.99903,7.99902,-3.0000000000640625e-05
I16_18_05.png,high,7.99901,7.99921,7.99913,7.99912,7.99906,7.99914,7.99911,7.9991,-1.9999999999242846e-05
I21_06_02.png,high,7.99913,7.99907,7.99904,7.99908,7.9992,7.99908,7.99922,7.99917,9.000000000014552e-05
I26_04_01.png,high,7.99926,7.99903,7.99894,7.99908,7.99924,7.99914,7.9992,7.99919,0.00010999999999938836
I26_05_01.png,high,7.99899,7.99908,7.99893,7.999,7.99922,7.99917,7.99913,7.99917,0.00017000000000066962
I27_17_04.png,high,7.99901,7.99908,7.99918,7.99909,7.9991,7.9991,7.99908,7.99909,0.0
I31_14_02.png,high,7.99908,7.99906,7.99916,7.9991,7.99914,7.99908,7.99889,7.99904,-6.000000000039307e-05
I39_10_02.png,high,7.99918,7.99909,7.999,7.99909,7.99912,7.99894,7.99906,7.99904,-4.999999999988347e-05
I40_16_02.png,high,7.99908,7.99911,7.99896,7.99905,7.99901,7.99905,7.99893,7.999,-5.000000000077165e-05
I41_22_04.png,high,7.99898,7.99907,7.99909,7.99905,7.99912,7.99918,7.99898,7.99909,3.999999999937387e-05
I45_10_01.png,high,7.99911,7.99907,7.99893,7.99903,7.999,7.99911,7.99887,7.99899,-4.000000000026205e-05
I48_14_01.png,high,7.99913,7.9989,7.99903,7.99902,7.99907,7.99911,7.99911,7.9991,8.00000000005241e-05
I52_06_01.png,high,7.99919,7.99899,7.99901,7.99906,7.99913,7.99905,7.99906,7.99908,2.0000000000131024e-05
I57_01_01.png,high,7.99913,7.99891,7.99919,7.99908,7.99918,7.99893,7.99898,7.99903,-4.999999999988347e-05
I57_20_01.png,high,7.99905,7.99908,7.99913,7.99909,7.99907,7.99907,7.99914,7.99909,0.0
I60_25_03.png,high,7.99908,7.99896,7.99919,7.99907,7.99902,7.99905,7.99912,7.99907,0.0
I64_18_01.png,high,7.99897,7.99903,7.99901,7.999,7.99909,7.99906,7.99901,7.99905,5.000000000077165e-05
I65_09_01.png,high,7.99909,7.99904,7.99912,7.99908,7.99901,7.99913,7.9991,7.99908,0.0
I69_20_04.png,high,7.99899,7.99913,7.99905,7.99906,7.99904,7.99908,7.99911,7.99908,2.0000000000131024e-05
I70_08_02.png,high,7.9991,7.99917,7.99909,7.99912,7.99892,7.99891,7.99893,7.99892,-0.00019999999999953388
I73_10_02.png,high,7.99901,7.99904,7.9991,7.99905,7.99913,7.99915,7.9991,7.99913,7.999999999963592e-05
I78_03_01.png,high,7.99901,7.99891,7.99905,7.99899,7.99909,7.99893,7.99919,7.99907,7.999999999963592e-05
