File Name,Category,Corr_Horizontal_R_baseline,Corr_Horizontal_G_baseline,Corr_Horizontal_B_baseline,Corr_Horizontal_baseline,Corr_Horizontal_R_optimized,Corr_Horizontal_G_optimized,Corr_Horizontal_B_optimized,Corr_Horizontal_optimized,selisih_horizontal,Corr_Vertical_R_baseline,Corr_Vertical_G_baseline,Corr_Vertical_B_baseline,Corr_Vertical_baseline,Corr_Vertical_R_optimized,Corr_Vertical_G_optimized,Corr_Vertical_B_optimized,Corr_Vertical_optimized,selisih_vertical,Corr_Diagonal_R_baseline,Corr_Diagonal_G_baseline,Corr_Diagonal_B_baseline,Corr_Diagonal_baseline,Corr_Diagonal_R_optimized,Corr_Diagonal_G_optimized,Corr_Diagonal_B_optimized,Corr_Diagonal_optimized,selisih_diagonal
I04_04_01.png,high,0.0034,-0.00246,-0.00227,-0.00044,0.00079,-0.00154,-0.00033,-0.00036,7.999999999999999e-05,0.00054,0.00158,-0.00017,0.00065,-0.00013,0.0009,0.00061,0.00046,0.00018999999999999996,-0.005,7e-05,-0.00335,-0.00276,0.00074,0.00067,-0.00011,0.00044,0.0031999999999999997
I05_01_02.png,high,0.00117,0.00459,0.00108,0.00228,-5e-05,0.00023,-5e-05,4e-05,0.00224,-0.00153,0.001,0.00151,0.00033,-0.00092,-8e-05,0.00167,0.00022,0.00010999999999999999,-0.00242,-0.00087,0.00057,-0.00091,-0.00014,0.00016,-0.00038,-0.00012,0.00079
I05_20_02.png,high,0.00125,0.0013,0.00615,0.0029,-0.00083,0.00024,0.00018,-0.00014,0.0030399999999999997,0.00058,1e-05,-2e-05,0.00019,7e-05,0.00179,-6e-05,0.0006,0.00040999999999999994,0.00049,-0.00208,-0.00181,-0.00113,-1e-05,-0.00064,-7e-05,-0.00024,0.00089
I08_18_01.png,high,-5e-05,0.00067,-0.00403,-0.00114,0.00029,-0.0006,0.0003,-0.0,0.00114,0.00281,0.00334,-0.00193,0.00141,-6e-05,-0.0019,-4e-05,-0.00067,0.0020800000000000003,-0.00157,-0.00257,-0.00111,-0.00175,-0.00022,-0.00118,0.00147,2e-05,0.00177
I13_17_03.png,high,0.00019,-0.0008,-0.00134,-0.00065,-0.00152,0.00058,0.00011,-0.00028,0.00037,-0.00097,0.00137,0.00068,0.00036,0.00215,0.00033,-0.00031,0.00072,0.00036,0.00196,-0.00175,-0.00082,-0.0002,0.00042,-0.00084,-0.00062,-0.00035,0.00015
I15_19_02.png,high,-0.00018,-0.00073,-0.00211,-0.001,6e-05,0.00155,-0.00013,0.00049,0.00149,-0.00183,-0.00425,0.00035,-0.00191,-0.0001,-0.00043,2e-05,-0.00017,0.00174,0.0007,0.0003,-0.0025,-0.0005,-0.00014,0.0001,0.00244,0.0008,0.0013
I16_16_01.png,high,-8e-05,0.00341,0.00058,0.0013,-0.00237,0.00034,-0.00016,-0.00073,0.0020299999999999997,-0.0001,-0.00064,0.00274,0.00067,0.00142,-0.00053,-0.00113,-8e-05,0.00075,0.00201,-0.0028,0.00176,0.00032,-0.00034,-4e-05,0.00038,-0.0,0.00032
I16_18_05.png,high,0.00641,-0.00023,-0.00327,0.00097,-0.0006,-0.00057,-0.00048,-0.00055,0.00152,-0.00066,-0.00072,0.00058,-0.00027,-0.00056,-0.00098,-0.0004,-0.00065,0.00037999999999999997,-0.0008,-0.0008,0.00176,5e-05,0.0,8e-05,0.00119,0.00042,0.00037
I21_06_02.png,high,-0.00023,0.00214,-3e-05,0.00063,-0.00086,-7e-05,-0.00141,-0.00078,0.00141,-0.00269,-0.0033,-0.0006,-0.0022,0.00074,2e-05,-0.00117,-0.00014,0.00206,-0.00081,0.00176,-0.00017,0.00026,-0.00067,-0.00055,-0.00032,-0.00051,0.0007700000000000001
I26_04_01.png,high,0.00336,-0.00053,0.00232,0.00171,0.00099,-0.00038,0.00065,0.00042,0.00129,-0.00013,-0.00136,0.00467,0.00106,0.00116,0.00012,-3e-05,0.00042,0.0006399999999999999,-0.00315,-0.00153,0.00284,-0.00061,-0.00129,-0.00026,0.0002,-0.00045,0.00015999999999999999
I26_05_01.png,high,0.00315,-0.00257,-0.00384,-0.00109,0.00051,0.00106,-0.00012,0.00049,0.00158,-0.00319,0.00256,-0.00177,-0.0008,7e-05,0.00091,-0.00081,6e-05,0.0008600000000000001,-0.00149,0.00319,0.00056,0.00075,-2e-05,-0.00132,0.00101,-0.00011,0.00086
I27_17_04.png,high,0.00112,0.00267,0.00176,0.00185,0.00131,0.00096,0.00169,0.00132,0.0005300000000000001,-6e-05,0.00012,-0.001,-0.00032,0.00089,0.00026,0.00047,0.00054,0.0008600000000000001,-0.00224,-0.00053,-0.00202,-0.0016,-0.00013,-0.00065,0.00039,-0.00013,0.0014700000000000002
I31_14_02.png,high,-0.00563,0.00325,-0.0046,-0.00232,0.0008,0.00148,5e-05,0.00078,0.0031,-0.00168,-0.00507,-0.00128,-0.00268,0.00044,0.00091,-0.00042,0.00031,0.00299,-0.00378,0.00125,0.00185,-0.00023,7e-05,0.00061,-1e-05,0.00022,0.00045
I39_10_02.png,high,-0.00033,0.00191,-0.00042,0.00039,0.00134,-0.00134,-0.00033,-0.00011,0.0005,-0.00304,0.00089,0.0006,-0.00052,0.00071,-0.00012,0.00025,0.00028,0.0007999999999999999,-0.00168,0.00208,0.00055,0.00032,-0.00206,0.00051,-0.0002,-0.00058,0.0009
I40_16_02.png,high,0.00204,0.0019,-0.00175,0.00073,0.00041,1e-05,-0.00021,7e-05,0.00066,-0.0036,0.00076,-0.00391,-0.00225,-4e-05,-0.00013,6e-05,-4e-05,0.0022099999999999997,0.00308,-0.00031,0.00255,0.00177,-0.00077,-0.00103,0.00037,-0.00048,0.0022500000000000003
I41_22_04.png,high,0.00069,-0.00046,-0.00157,-0.00045,0.00093,0.00017,-0.00025,0.00028,0.00073,-5e-05,-0.00374,0.00235,-0.00048,-0.00017,-0.00069,-0.00303,-0.00129,0.00081,0.00325,-0.00401,0.00033,-0.00014,0.00016,9e-05,0.00087,0.00038,0.0005200000000000001
I45_10_01.png,high,0.00073,0.00137,-0.00094,0.00039,-0.00014,0.00143,-2e-05,0.00042,3.0000000000000024e-05,-0.0063,-0.00129,-0.00143,-0.00301,-3e-05,0.00091,-0.00076,4e-05,0.00305,-0.00241,0.0012,0.00425,0.00101,-0.00029,-0.0015,-0.00073,-0.00084,0.00185
I48_14_01.png,high,0.00154,-0.00013,-0.00091,0.00017,0.00031,0.00178,-0.0003,0.0006,0.00042999999999999994,-0.00215,-6e-05,-0.00323,-0.00181,0.00022,0.00059,-0.00086,-2e-05,0.00179,0.00045,-0.00123,0.00651,0.00191,0.00199,-0.00051,0.00038,0.00062,0.00129
I52_06_01.png,high,0.00106,-0.00137,-0.00042,-0.00024,-0.0008,0.00037,-0.00137,-0.0006,0.00035999999999999997,-0.00024,-0.0024,0.00217,-0.00016,0.00107,-0.0002,0.00066,0.00051,0.00067,0.00122,-0.00032,0.00068,0.00053,-0.00179,0.00082,0.00028,-0.00023,0.00076
I57_01_01.png,high,0.00015,0.00138,-0.00341,-0.00063,-0.00067,0.00054,-0.00059,-0.00024,0.00039000000000000005,0.00196,-0.00069,-0.00448,-0.00107,6e-05,-0.00212,-0.00123,-0.0011,3.000000000000008e-05,-0.00181,0.00418,0.00025,0.00087,-8e-05,-0.0007,-0.00087,-0.00055,0.00142
I57_20_01.png,high,0.00083,0.00102,-0.00106,0.00026,-9e-05,0.00142,0.00067,0.00067,0.00041000000000000005,-0.00408,0.00141,0.00297,0.0001,0.00121,0.00033,-3e-05,0.0005,0.0004,-0.00037,0.00149,0.0018,0.00098,0.00174,-0.0006,0.00086,0.00067,0.00030999999999999995
