File Name,Category,Entropy_R,Corr_Horizontal_R,Corr_Vertical_R,Corr_Diagonal_R,NPCR_R (%),UACI_R (%),Entropy_G,Corr_Horizontal_G,Corr_Vertical_G,Corr_Diagonal_G,NPCR_G (%),UACI_G (%),Entropy_B,Corr_Horizontal_B,Corr_Vertical_B,Corr_Diagonal_B,NPCR_B (%),UACI_B (%),Entropy,Corr_Horizontal,Corr_Vertical,Corr_Diagonal,NPCR (%),UACI (%),MSE_Dec,PSNR_Dec,Enc_Time (s),Dec_Time (s),Lossless
I52_06_01.png,high,7.99919,0.00106,-0.00024,0.00122,99.15975,33.46208,7.99899,-0.00137,-0.0024,-0.00032,99.17145,33.50741,7.99901,-0.00042,0.00217,0.00068,99.14449,33.52351,7.99906,-0.00024,-0.00016,0.00053,99.15856,33.49767,0.0,inf,0.4576,0.4576,True
I57_01_01.png,high,7.99913,0.00015,0.00196,-0.00181,99.19281,33.51646,7.99891,0.00138,-0.00069,0.00418,99.23045,33.40584,7.99919,-0.00341,-0.00448,0.00025,99.21621,33.44946,7.99908,-0.00063,-0.00107,0.00087,99.21316,33.45725,0.0,inf,0.449,0.4548,True
I57_20_01.png,high,7.99905,0.00083,-0.00408,-0.00037,99.20502,33.50729,7.99908,0.00102,0.00141,0.00149,99.21977,33.43148,7.99913,-0.00106,0.00297,0.0018,99.23197,33.43017,7.99909,0.00026,0.0001,0.00098,99.21892,33.45631,0.0,inf,0.4492,0.4398,True
I60_25_03.png,high,7.99908,0.00011,0.0013,0.00183,99.0392,33.46726,7.99896,-0.00524,0.00341,-0.00123,99.0565,33.49002,7.99919,0.0014,-0.00049,0.00105,99.07074,33.45952,7.99907,-0.00124,0.00141,0.00055,99.05548,33.47227,0.0,inf,0.4375,0.4395,True
I64_18_01.png,high,7.99897,-0.00282,0.00056,-0.00195,99.29708,33.54065,7.99903,-1e-05,-0.00255,0.00213,99.29555,33.46719,7.99901,0.00038,0.00102,-0.00141,99.29454,33.48677,7.999,-0.00082,-0.00032,-0.00041,99.29572,33.4982,0.0,inf,0.435,0.4373,True
I65_09_01.png,high,7.99909,-0.00046,-0.00056,0.00179,99.32861,33.50304,7.99904,-0.00361,-0.00387,-0.00269,99.32098,33.42129,7.99912,-0.00168,0.00121,-0.00109,99.3276,33.5915,7.99908,-0.00192,-0.00108,-0.00066,99.32573,33.50528,0.0,inf,0.4485,0.4817,True
I69_20_04.png,high,7.99899,-0.00048,-0.00148,-0.00214,99.54376,33.4819,7.99913,0.0008,-0.00101,0.00242,99.51731,33.36222,7.99905,-0.0024,0.00073,0.00159,99.54224,33.38298,7.99906,-0.0007,-0.00059,0.00062,99.53444,33.40903,0.0,inf,0.449,0.442,True
I70_08_02.png,high,7.9991,0.00185,0.00075,-0.00206,99.07227,33.37091,7.99917,-0.00052,0.00138,0.00123,99.10431,33.5988,7.99909,0.00175,-0.00274,-0.00125,99.08752,33.44397,7.99912,0.00103,-0.00021,-0.00069,99.08803,33.47123,0.0,inf,0.4372,0.4447,True
I73_10_02.png,high,7.99901,0.00477,0.00172,3e-05,98.92171,33.44385,7.99904,3e-05,-0.00126,0.00029,98.87594,33.45655,7.9991,0.00032,0.00093,-0.00395,98.87339,33.43574,7.99905,0.00171,0.00046,-0.00121,98.89035,33.44538,0.0,inf,0.427,0.4329,True
I78_03_01.png,high,7.99901,-0.00371,-0.00133,7e-05,99.41203,33.36958,7.99891,-0.00117,-0.00177,0.00017,99.43186,33.60146,7.99905,0.00158,-0.00143,-0.00103,99.43339,33.38753,7.99899,-0.0011,-0.00151,-0.00026,99.42576,33.45285,0.0,inf,0.4259,0.4325,True
