File Name,Category,Best_Fitness,Opt_r_min,Opt_eps,Opt_T0,Opt_Q,Entropy_R,Corr_Horizontal_R,Corr_Vertical_R,Corr_Diagonal_R,NPCR_R (%),UACI_R (%),Entropy_G,Corr_Horizontal_G,Corr_Vertical_G,Corr_Diagonal_G,NPCR_G (%),UACI_G (%),Entropy_B,Corr_Horizontal_B,Corr_Vertical_B,Corr_Diagonal_B,NPCR_B (%),UACI_B (%),Entropy,Corr_Horizontal,Corr_Vertical,Corr_Diagonal,NPCR (%),UACI (%),Enc_Time (s),Dec_Time (s),HO_Time (s),Lossless
I02_14_02.png,medium,0.000491,3.81366,0.00275,987,158,7.99901,0.00162,-0.00042,-0.00076,99.42932,33.50552,7.99905,0.00014,0.0009,0.00136,99.40796,33.52263,7.99906,0.00161,7e-05,0.00089,99.43288,33.40057,7.99904,0.00112,0.00018,0.0005,99.42339,33.47624,0.4374,0.418,518.36,True
I04_14_03.png,medium,0.000418,3.81758,0.00621,634,1,7.99903,0.00029,-0.00024,1e-05,99.32149,33.41927,7.99895,0.00183,-0.00082,1e-05,99.33573,33.52252,7.99912,9e-05,0.00164,0.00151,99.33116,33.48139,7.99903,0.00074,0.0002,0.00051,99.32946,33.4744,0.4099,0.4062,519.34,True
I04_21_04.png,medium,0.000452,3.98223,0.00121,600,33,7.99908,-0.00085,-0.00183,0.00108,99.37948,33.43808,7.99906,-0.00027,-0.00017,0.00091,99.3749,33.47706,7.99921,-0.00019,0.00057,-0.00128,99.40999,33.44487,7.99912,-0.00044,-0.00048,0.00024,99.38812,33.45334,0.4063,0.4112,517.97,True
I05_13_02.png,medium,0.000376,3.99,0.00616,1583,1,7.99893,-0.00114,0.00134,-0.0001,99.13432,33.6228,7.99908,-6e-05,5e-05,-0.00051,99.14042,33.52149,7.99906,-0.00047,-0.00119,-0.00079,99.09465,33.39916,7.99902,-0.00056,7e-05,-0.00047,99.12313,33.51448,0.419,0.4207,518.57,True
I06_11_04.png,medium,0.000407,3.96329,0.00599,740,22,7.99904,0.00027,-0.00037,0.00121,98.8088,33.43231,7.99913,-0.00032,0.00053,-0.00162,98.8032,33.46327,7.99906,-0.0005,0.00044,-0.00103,98.80727,33.45419,7.99908,-0.00018,0.0002,-0.00048,98.80642,33.44993,0.4065,0.414,517.79,True
I09_02_01.png,medium,0.000372,3.87436,0.00725,2312,186,7.99879,0.00095,-0.0003,0.00042,99.29962,33.48928,7.99908,0.00033,-0.00151,0.00032,99.29148,33.49686,7.99915,0.00093,0.00061,-0.00022,99.27419,33.47309,7.99901,0.00074,-0.0004,0.00017,99.28843,33.48641,0.4098,0.4086,518.24,True
I10_25_02.png,medium,0.000431,3.99,0.00422,1683,31,7.99918,-0.00012,0.00236,-0.00111,98.91968,33.44681,7.99913,0.00174,0.00042,3e-05,98.89018,33.49302,7.99926,-0.00044,0.0006,-1e-05,98.91764,33.41015,7.99919,0.00039,0.00113,-0.00037,98.90917,33.44999,0.4083,0.4067,518.57,True
I19_25_05.png,medium,0.000332,3.99,0.00904,500,1,7.999,-0.00027,-0.00036,0.00023,99.34998,33.48168,7.99891,0.00137,-0.00039,-0.00036,99.2981,33.46131,7.99894,-0.00081,4e-05,0.00096,99.28131,33.53968,7.99895,0.0001,-0.00023,0.00028,99.30979,33.49422,0.4119,0.4141,519.51,True
I23_08_02.png,medium,0.000287,3.99,0.0098,940,6,7.99897,0.00086,7e-05,0.00013,98.83881,33.42255,7.99911,0.00072,-8e-05,0.00011,98.87238,33.45974,7.99899,-0.00085,0.00093,0.00033,98.81795,33.40294,7.99902,0.00024,0.00031,0.00019,98.84304,33.42841,0.4066,0.4213,519.44,True
I24_25_05.png,medium,0.000406,3.99,0.00284,1055,7,7.99918,-0.00032,-0.0005,-0.00112,98.85763,33.56741,7.99873,0.00025,-0.00013,-0.00224,98.86373,33.44716,7.99907,-4e-05,0.0007,-0.00088,98.87644,33.37108,7.99899,-4e-05,2e-05,-0.00141,98.86593,33.46188,0.4112,0.4158,518.09,True
I32_05_02.png,medium,0.000418,3.84635,0.00658,2145,169,7.99913,-0.00114,0.00011,-0.00045,99.37541,33.4483,7.99906,-0.00044,0.00032,0.00155,99.39931,33.41313,7.99917,-0.00029,-0.00016,0.00206,99.3927,33.47969,7.99912,-0.00063,9e-05,0.00105,99.38914,33.44704,0.4171,0.4115,519.33,True
I32_16_03.png,medium,0.000377,3.57995,0.0,503,1,7.99907,-0.00062,0.0001,-0.00042,99.35455,33.39308,7.99908,0.00053,-0.00157,-0.00045,99.35964,33.44087,7.9991,-0.00085,0.00121,2e-05,99.37134,33.44755,7.99909,-0.00032,-9e-05,-0.00028,99.36184,33.42717,0.4221,0.4204,519.47,True
I37_11_01.png,medium,0.000339,3.67636,0.01,521,6,7.999,-0.00063,0.00015,0.00066,98.95833,33.55612,7.99915,0.00182,0.00057,0.0004,98.98275,33.43111,7.99912,0.00022,0.00015,-0.00047,98.96952,33.41161,7.99909,0.00047,0.00029,0.0002,98.9702,33.46628,0.4151,0.4113,518.82,True
I44_07_01.png,medium,0.00033,3.88001,0.00382,1431,60,7.99914,-0.00157,-0.00038,-0.00059,99.25385,33.40276,7.99903,0.00011,-0.00011,-1e-05,99.27775,33.44574,7.99918,-0.00048,0.00017,-0.00153,99.27826,33.52701,7.99911,-0.00065,-0.00011,-0.00071,99.26995,33.4585,0.4011,0.4097,519.67,True
I44_13_04.png,medium,0.000416,3.9899,0.01,1569,138,7.99907,0.00016,0.00034,-6e-05,99.29504,33.43219,7.99922,0.00044,0.00209,0.00049,99.33523,33.58554,7.99905,0.00022,-0.00053,0.00215,99.32912,33.51644,7.99911,0.00027,0.00063,0.00086,99.3198,33.51139,0.417,0.4077,520.51,True
I48_13_03.png,medium,0.000362,3.99,0.00986,500,1,7.99906,0.00032,-4e-05,0.00013,99.00513,33.5115,7.99912,-0.00108,0.00175,-0.00117,99.01683,33.46799,7.99924,-0.00045,-0.00042,0.00019,99.00716,33.383,7.99914,-0.0004,0.00043,-0.00028,99.0097,33.45416,0.4089,0.4169,520.56,True
I49_08_04.png,medium,0.000457,3.84562,0.00459,1575,17,7.99902,0.0006,-0.00019,0.00015,99.04327,33.28996,7.99903,-0.00148,-0.00031,0.00018,99.02293,33.49124,7.99899,0.00192,0.00168,0.00061,99.02089,33.45732,7.99901,0.00035,0.00039,0.00031,99.02903,33.41284,0.4043,0.4178,520.41,True
I53_21_03.png,medium,0.0004,3.79871,0.00932,1720,38,7.99902,0.00029,0.00041,0.00109,99.24164,33.46236,7.99905,0.00226,0.00087,-0.00018,99.22791,33.48823,7.99906,5e-05,-0.00016,0.00081,99.24113,33.47782,7.99904,0.00087,0.00037,0.00057,99.23689,33.47613,0.4136,0.4177,521.12,True
I56_25_04.png,medium,0.000396,3.99,0.0091,797,62,7.99914,-0.00127,-4e-05,-0.00033,98.65875,33.51951,7.99905,-0.00071,-0.00022,0.00137,98.68571,33.37877,7.99903,-0.00026,0.00089,-0.001,98.68215,33.45538,7.99907,-0.00075,0.00021,2e-05,98.67554,33.45122,0.4088,0.4165,520.94,True
