,Opt_r_min,Opt_r_min,Opt_eps,Opt_eps,Opt_T0,Opt_T0,Opt_Q,Opt_Q,Entropy,Entropy,Entropy_R,Entropy_R,Entropy_G,Entropy_G,Entropy_B,Entropy_B,Corr_Horizontal,Corr_Horizontal,Corr_Vertical,Corr_Vertical,Corr_Diagonal,Corr_Diagonal,Avg_Corr,Avg_Corr,NPCR (%),NPCR (%),NPCR_R (%),NPCR_R (%),NPCR_G (%),NPCR_G (%),NPCR_B (%),NPCR_B (%),UACI (%),UACI (%),UACI_R (%),UACI_R (%),UACI_G (%),UACI_G (%),UACI_B (%),UACI_B (%),Enc_Time (s),Enc_Time (s),Dec_Time (s),Dec_Time (s),HO_Time (s),HO_Time (s)
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high,3.80537,0.17713,0.00573,0.00353,1436.06667,810.72619,106.56667,90.78192,7.99906,6e-05,7.99904,0.0001,7.99906,9e-05,7.99907,7e-05,0.00019,0.0005,-0.00017,0.0005,-2e-05,0.00059,0.00045,0.00014,99.15594,0.23858,99.15848,0.23404,99.15294,0.23943,99.15641,0.24396,33.46189,0.02616,33.45437,0.04417,33.47242,0.05722,33.45886,0.05181,0.90501,0.41001,0.93331,0.43107,1209.45833,511.65959
medium,3.86062,0.15723,0.00593,0.00374,1128.2,708.2102,61.26667,77.4347,7.99907,6e-05,7.99905,9e-05,7.99907,0.0001,7.99908,9e-05,8e-05,0.00052,0.00014,0.00048,-3e-05,0.0006,0.00044,0.00014,99.1512,0.21976,99.15404,0.22202,99.14943,0.21552,99.15014,0.22339,33.45987,0.02496,33.46002,0.06948,33.46914,0.04365,33.45044,0.04404,0.41207,0.00725,0.41507,0.00582,520.54533,2.69146
low,3.79785,0.19266,0.00589,0.0038,1374.76667,774.02975,100.13333,85.23425,7.99906,5e-05,7.99906,6e-05,7.99905,8e-05,7.99908,8e-05,6e-05,0.00049,0.0001,0.00052,1e-05,0.00053,0.0004,0.00018,99.10412,0.2263,99.10349,0.22424,99.10697,0.22697,99.1019,0.22941,33.45968,0.02689,33.45701,0.06017,33.45886,0.05114,33.46317,0.03913,0.40999,0.00556,0.41334,0.00605,519.47233,1.01097
