Category,Label,N,Entropy_Base_Avg_RGB,Entropy_Opt_Avg_RGB,Avg_Corr_Base_RGB,Avg_Corr_Opt_RGB,Enc_Time_Base_Mean (s),Enc_Time_Opt_Mean (s),NPCR_Base_Avg_RGB (%),NPCR_Opt_Avg_RGB (%),UACI_Base_Avg_RGB (%),UACI_Opt_Avg_RGB (%),Entropy_Base_R,Entropy_Opt_R,NPCR_Base_R (%),NPCR_Opt_R (%),UACI_Base_R (%),UACI_Opt_R (%),Entropy_Base_G,Entropy_Opt_G,NPCR_Base_G (%),NPCR_Opt_G (%),UACI_Base_G (%),UACI_Opt_G (%),Entropy_Base_B,Entropy_Opt_B,NPCR_Base_B (%),NPCR_Opt_B (%),UACI_Base_B (%),UACI_Opt_B (%)
high,High (DMOS Tinggi),30,7.99906,7.99905,0.00095,0.00042,0.73506,0.36777,99.16047,99.14928,33.47096,33.46831,7.99908,7.99904,99.15982,99.15266,33.46942,33.4739,7.99905,7.99906,99.15868,99.14651,33.47044,33.47527,7.99906,7.99905,99.1629,99.14868,33.47302,33.45576
medium,Medium,30,7.99906,7.99907,0.00091,0.0004,0.72583,0.37117,99.20321,99.09983,33.45288,33.45415,7.99906,7.99905,99.19668,99.10278,33.45949,33.45858,7.99906,7.99906,99.20642,99.09832,33.46372,33.44157,7.99904,7.9991,99.20654,99.09839,33.43544,33.46231
low,Low (DMOS Rendah),30,7.99908,7.99906,0.00106,0.0004,0.74243,0.37295,99.15707,99.14655,33.46011,33.45256,7.99907,7.99905,99.15734,99.1458,33.46896,33.44372,7.99907,7.99908,99.15953,99.14658,33.45193,33.45118,7.99908,7.99905,99.15432,99.14729,33.45943,33.46277
