,Opt_r_min,Opt_r_min,Opt_eps,Opt_eps,Opt_T0,Opt_T0,Opt_Q,Opt_Q,Entropy,Entropy,NPCR (%),NPCR (%)
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Category,,,,,,,,,,,,
high,3.73489,0.20301,0.02066,0.01784,544.23333,386.14395,355.83333,289.85324,7.99909,8e-05,99.03668,0.26307
medium,3.75438,0.20897,0.01803,0.01795,475.1,473.70472,226.96667,277.48954,7.99908,7e-05,99.08652,0.25802
low,3.7563,0.18697,0.02852,0.01586,667.86667,597.36622,325.36667,303.22968,7.99907,7e-05,99.06097,0.24938
