Kategori,Nama File,Entropy_Opt_Avg_RGB,Entropy_Opt_R,Entropy_Opt_G,Entropy_Opt_B,NPCR_Opt_Avg_RGB (%),UACI_Opt_Avg_RGB (%),r_min,eps,T0,Q,Key_NPCR_R (%),Key_UACI_R (%),Key_NPCR_G (%),Key_UACI_G (%),Key_NPCR_B (%),Key_UACI_B (%),Key_NPCR_Avg (%),Key_UACI_Avg (%)
HIGH,I04_04_01.png,7.99919,7.99908,7.99922,7.99928,99.29708,33.43866,3.65957,0.00976,2188,155,99.59564,33.56263,99.63125,33.42373,99.6226,33.48171,99.6165,33.48935
MEDIUM,I73_03_03.png,7.99917,7.99918,7.99919,7.99914,99.18247,33.45803,3.77132,0.00686,780,38,99.60022,33.50183,99.60531,33.522,99.59869,33.41736,99.60141,33.48039
LOW,I21_04_04.png,7.99916,7.99916,7.99905,7.99927,99.23825,33.47195,3.9899,0.01,3000,210,99.61192,33.38374,99.63125,33.56389,99.63633,33.41257,99.6265,33.4534
