File Name,Category,Best_Fitness,Opt_r_min,Opt_eps,Opt_T0,Opt_Q,Entropy_R,Corr_Horizontal_R,Corr_Vertical_R,Corr_Diagonal_R,NPCR_R (%),UACI_R (%),Entropy_G,Corr_Horizontal_G,Corr_Vertical_G,Corr_Diagonal_G,NPCR_G (%),UACI_G (%),Entropy_B,Corr_Horizontal_B,Corr_Vertical_B,Corr_Diagonal_B,NPCR_B (%),UACI_B (%),Entropy,Corr_Horizontal,Corr_Vertical,Corr_Diagonal,NPCR (%),UACI (%),MSE_Dec,PSNR_Dec,Enc_Time (s),Dec_Time (s),HO_Time (s),Lossless
I11_02_04.png,low,0.000424,3.99,0.00637,2846,88,7.99914,-0.00241,0.00052,0.00136,99.09973,33.56354,7.99912,-0.00034,0.00017,-0.00013,99.09312,33.52393,7.99901,0.00011,-0.00067,-0.0009,99.05701,33.52758,7.99909,-0.00088,1e-05,0.00011,99.08329,33.53835,0.0,inf,0.4127,0.411,535.59,True
I18_07_02.png,low,0.000335,3.99,0.00801,2562,53,7.99913,-0.00087,-0.00021,-0.00035,98.82253,33.48577,7.99886,-0.0009,0.00034,-0.00031,98.85254,33.46292,7.99903,0.00086,0.00023,-0.00083,98.85152,33.52612,7.99901,-0.0003,0.00012,-0.0005,98.8422,33.4916,0.0,inf,0.4157,0.4166,535.8,True
I18_12_05.png,low,0.000376,3.99,0.00092,697,26,7.99908,0.00056,-0.00066,1e-05,98.95986,33.46635,7.9992,-0.00018,-0.0003,0.00101,98.97563,33.51334,7.99887,0.0003,-0.00204,0.00063,98.968,33.51504,7.99905,0.00023,-0.001,0.00055,98.96783,33.49825,0.0,inf,0.4346,0.4088,534.27,True
I20_13_04.png,low,0.000481,3.57,0.0028,1095,33,7.9991,-0.00037,0.00228,0.00091,98.94409,33.49303,7.99911,-0.0001,0.00012,0.00075,98.96495,33.43835,7.9991,-0.00068,-0.00096,0.00147,98.91001,33.43248,7.99911,-0.00038,0.00048,0.00105,98.93968,33.45462,0.0,inf,0.4055,0.4183,532.82,True
I21_04_04.png,low,0.00036,3.9899,0.01,3000,210,7.99916,0.00014,-0.00124,0.0004,99.24825,33.46466,7.99905,6e-05,0.00138,-0.00145,99.22384,33.46763,7.99927,-0.00047,0.00014,-0.00027,99.24266,33.48356,7.99916,-9e-05,9e-05,-0.00044,99.23825,33.47195,0.0,inf,0.4127,0.4127,533.41,True
I27_21_05.png,low,0.000332,3.99,0.00084,775,24,7.99903,0.00062,-0.00082,0.00015,99.22333,33.47368,7.99892,0.00041,0.00097,-0.00051,99.27012,33.48643,7.99926,-0.00041,0.00068,-0.00038,99.22892,33.41905,7.99907,0.0002,0.00028,-0.00024,99.24079,33.45972,0.0,inf,0.4122,0.4202,537.41,True
I29_03_05.png,low,0.00046,3.81167,0.00279,1171,74,7.999,-6e-05,-0.00086,0.00073,99.13839,33.51347,7.99906,0.00109,-0.00027,-0.00188,99.10278,33.39284,7.99906,0.00111,-0.00048,-0.00072,99.08447,33.40844,7.99904,0.00071,-0.00054,-0.00062,99.10855,33.43825,0.0,inf,0.4256,0.4155,533.48,True
I33_14_03.png,low,0.000391,3.95951,0.00927,2819,237,7.99919,-0.00118,5e-05,-0.00069,99.17297,33.47107,7.99899,-0.00021,0.00162,0.00156,99.19027,33.43701,7.99912,0.00065,6e-05,0.0,99.17348,33.47199,7.9991,-0.00024,0.00058,0.00029,99.17891,33.46002,0.0,inf,0.4468,0.417,533.28,True
I39_21_03.png,low,0.000485,3.97269,0.00329,650,82,7.99898,0.00085,-0.00026,-0.00197,98.94206,33.44284,7.99899,-0.00148,0.00036,0.00034,98.96901,33.58629,7.99915,-0.00099,0.00028,-0.00111,98.91205,33.44345,7.99904,-0.00054,0.00013,-0.00091,98.94104,33.49086,0.0,inf,0.4183,0.4182,534.73,True
I40_19_05.png,low,0.000439,3.9183,0.01,1527,53,7.99917,-0.00054,6e-05,-0.00063,98.83728,33.49615,7.99912,0.00063,0.00283,6e-05,98.83321,33.52076,7.99912,-0.00012,0.00015,0.00189,98.84033,33.46902,7.99913,-1e-05,0.00101,0.00044,98.83694,33.49531,0.0,inf,0.421,0.4157,534.78,True
I41_02_05.png,low,0.000328,3.57,0.00052,500,20,7.99914,-0.00043,0.00126,-0.00016,99.13279,33.48466,7.99905,-0.00141,-0.00013,0.00056,99.15263,33.54008,7.99915,4e-05,0.00091,-1e-05,99.16484,33.44179,7.99911,-0.0006,0.00068,0.00013,99.15009,33.48884,0.0,inf,0.4099,0.4169,534.01,True
I41_16_04.png,low,0.000365,3.58213,0.00086,933,187,7.99894,-6e-05,0.00096,-0.00032,99.27012,33.43577,7.99901,5e-05,0.00075,0.00081,99.23859,33.45364,7.999,0.0003,-0.00082,0.00134,99.23452,33.45975,7.99898,0.0001,0.0003,0.00061,99.24774,33.44972,0.0,inf,0.4149,0.4316,535.24,True
I44_03_05.png,low,0.000484,3.68651,0.00277,1194,72,7.99909,0.00042,-0.00088,0.00043,99.3454,33.42983,7.9991,-0.00124,0.00044,0.00031,99.30471,33.48006,7.99904,0.00088,-0.00224,0.00081,99.30878,33.41642,7.99908,2e-05,-0.00089,0.00052,99.31963,33.4421,0.0,inf,0.4254,0.4137,533.61,True
I44_15_03.png,low,0.000446,3.69436,0.00422,2274,153,7.99913,4e-05,-0.00351,0.00038,99.20247,33.4623,7.99914,0.00045,-9e-05,-0.0,99.21366,33.46159,7.99906,0.00162,-0.00068,-0.00024,99.16229,33.43014,7.99911,0.00071,-0.00143,4e-05,99.19281,33.45134,0.0,inf,0.4267,0.4168,535.29,True
I48_23_04.png,low,0.000407,3.6531,0.00198,995,51,7.99905,-0.00022,0.00042,0.00021,99.44611,33.46835,7.99904,0.00112,0.00045,0.0015,99.40186,33.45569,7.99911,0.00014,0.00058,-0.00163,99.40643,33.4834,7.99906,0.00035,0.00048,2e-05,99.41813,33.46915,0.0,inf,0.4462,0.4336,535.19,True
I50_07_03.png,low,0.000381,3.62526,0.01,525,9,7.99907,0.00058,-0.00042,-0.00119,98.8505,33.50857,7.99915,-0.0002,0.00245,0.00017,98.84033,33.50056,7.99891,-0.00064,-3e-05,0.00011,98.82711,33.39934,7.99904,-8e-05,0.00067,-0.0003,98.83931,33.46949,0.0,inf,0.4041,0.4132,536.4,True
I56_16_05.png,low,0.000355,3.99,0.00462,1938,159,7.99913,0.001,-0.00084,0.00054,99.06871,33.4602,7.99913,-0.00016,-0.00036,-0.00044,99.04989,33.47821,7.999,0.00051,0.00121,-0.00031,99.03005,33.49385,7.99909,0.00045,0.0,-7e-05,99.04955,33.47742,0.0,inf,0.4123,0.419,534.54,True
I61_02_04.png,low,0.000436,3.99,0.00968,595,254,7.99904,0.00088,-0.00065,0.00088,99.2157,33.456,7.99905,8e-05,0.00026,0.00167,99.22129,33.39267,7.99907,-0.00083,-0.00106,0.00047,99.2396,33.36683,7.99905,4e-05,-0.00048,0.00101,99.22553,33.40517,0.0,inf,0.406,0.4213,535.52,True
I66_10_04.png,low,0.000276,3.99,0.00932,500,1,7.99907,4e-05,-0.00134,0.00026,98.98987,33.43609,7.99903,0.00038,0.00034,0.00027,98.97614,33.45435,7.99893,0.0005,0.00023,-0.00049,98.97461,33.43636,7.99901,0.00031,-0.00026,1e-05,98.9802,33.44227,0.0,inf,0.4494,0.4412,537.02,True
I73_10_05.png,low,0.000407,3.57,0.01,3000,60,7.99905,0.00028,-0.00119,-0.00024,98.73759,33.38598,7.99908,0.00099,-0.00042,-0.00027,98.76912,33.47307,7.99918,-0.00142,-0.00044,-0.00105,98.74776,33.42427,7.9991,-5e-05,-0.00069,-0.00052,98.75149,33.42777,0.0,inf,0.4114,0.4199,534.72,True
I74_04_04.png,low,0.000312,3.64638,0.00531,2542,218,7.99911,0.00081,-0.00019,-0.00087,99.11601,33.42602,7.99911,0.00055,-0.00049,0.0003,99.09668,33.38589,7.9991,0.0,-0.0004,0.001,99.14093,33.52913,7.99911,0.00045,-0.00036,0.00014,99.11787,33.44701,0.0,inf,0.4075,0.422,534.57,True
I75_14_05.png,low,0.000374,3.98705,0.00471,501,19,7.99913,0.0008,-0.00029,-0.00035,99.19484,33.43411,7.99907,-0.00161,-1e-05,0.00197,99.15314,33.51037,7.99901,0.00033,0.0001,-0.00022,99.18213,33.4865,7.99907,-0.00016,-7e-05,0.00047,99.1767,33.47699,0.0,inf,0.422,0.4167,536.29,True
I76_24_02.png,low,0.000314,3.74206,0.00088,1125,91,7.99905,0.00105,0.00016,0.00014,99.11346,33.45364,7.99911,-0.00018,0.00089,2e-05,99.08702,33.47259,7.99886,0.00033,-0.0016,-0.00015,99.11601,33.50402,7.99901,0.0004,-0.00018,0.0,99.1055,33.47675,0.0,inf,0.4148,0.4258,535.17,True
I77_02_03.png,low,0.00045,3.62788,0.00138,845,36,7.99909,-0.00044,-0.00025,0.00043,98.97817,33.54532,7.99914,0.00062,0.00153,0.00055,98.94511,33.45686,7.99909,-0.00207,-0.00119,-3e-05,98.98936,33.44599,7.99911,-0.00063,3e-05,0.00032,98.97088,33.48272,0.0,inf,0.4181,0.4246,535.4,True
I79_01_05.png,low,0.000435,3.76287,0.00459,1648,118,7.99895,-0.00118,-0.00196,0.00012,99.20603,33.48626,7.99913,-0.00161,-0.00085,-8e-05,99.23197,33.51895,7.99899,-0.00039,0.00031,-0.00023,99.23096,33.52199,7.99902,-0.00106,-0.00083,-6e-05,99.22299,33.50907,0.0,inf,0.4356,0.4208,535.15,True
